word,length,pos,has_okina,has_kahako,bare_form,definition
nihi,4,noun,0,0,nihi,Lānaʻi form of lihi (“edge”)
niho,4,noun,0,0,niho,tooth
nika,4,noun,0,0,nika,nigger
nini,4,verb,0,0,nini,to pour
noho,4,noun,0,0,noho,seat
nohu,4,noun,0,0,nohu,scorpionfish
noio,4,noun,0,0,noio,lesser noddy (Anous tenuirostris)
noku,4,noun,0,0,noku,Lānaʻi form of loku (“downpour”)
nona,4,pron,0,0,nona,"for him/her/it; his, hers, its; whose, for whom"
noni,4,noun,0,0,noni,"A Polynesian tree with fruits traditionally used as medicine, Morinda citrifolia"
nono,4,verb,0,0,nono,"red-faced, rosy-cheeked"
noʻa,4,noun,1,0,noa,a piece of wood used in the games of noʻa and pūhenehene
noʻu,4,pron,1,0,nou,"mine, for me"
nuha,4,verb,0,0,nuha,"stubborn, sulky, peevish"
nuku,4,noun,0,0,nuku,"snout, beak, mouth"
nunu,4,noun,0,0,nunu,Lānaʻi form of lunu (“greed”)
nāna,4,pron,0,1,nana,"for him/her/it; by him/her/it; his, hers, its; whose, for whom, by whom"
nānā,4,noun,0,1,nana,goat
nēnē,4,verb,0,1,nene,"to chirp, to croak"
nūnū,4,noun,0,1,nunu,pigeon
paha,4,particle,0,0,paha,"Used to indicate the conditional mood, expressed in English as perhaps, might, possibly"
pahu,4,noun,0,0,pahu,drum
paio,4,verb,0,0,paio,"to fight, to quarrel"
paka,4,verb,0,0,paka,to strain out impurities
pakū,4,verb,0,1,paku,"to burst, to break open"
pala,4,verb,0,0,pala,"to smear, to smudge"
pale,4,noun,0,0,pale,headdress
pali,4,noun,0,0,pali,"cliff, precipice"
palu,4,verb,0,0,palu,to lick
pana,4,noun,0,0,pana,bow
pane,4,noun,0,0,pane,answer
pani,4,noun,0,0,pani,dam
pano,4,noun,0,0,pano,dark
papa,4,noun,0,0,papa,"board, lumber"
paʻa,4,noun,1,0,paa,solid
paʻi,4,verb,1,0,pai,to hit
peku,4,verb,0,0,peku,to kick
pele,4,noun,0,0,pele,volcano
pelu,4,verb,0,0,pelu,"to bend, to fold"
pepa,4,noun,0,0,pepa,paper
peʻa,4,noun,1,0,pea,bat (flying mammal)
piha,4,noun,0,0,piha,"fullness, completion"
pihi,4,noun,0,0,pihi,"scab, scar"
piko,4,noun,0,0,piko,navel
pila,4,noun,0,0,pila,violin
pili,4,noun,0,0,pili,black speargrass (Heteropogon contortus)
pipi,4,noun,0,0,pipi,cow
piwa,4,noun,0,0,piwa,fever
piʻi,4,verb,1,0,pii,"to travel inland, thus"
piʻo,4,noun,1,0,pio,"bend, curve, arc"
poke,4,noun,0,0,poke,"section, slice, piece, part, portion"
polū,4,noun,0,1,polu,blue (color)
pona,4,noun,0,0,pona,node of bamboo or sugarcanes
poni,4,noun,0,0,poni,purple (color/colour)
pono,4,noun,0,0,pono,righteousness
poʻe,4,noun,1,0,poe,"people, population"
poʻo,4,noun,1,0,poo,head
pueo,4,noun,0,0,pueo,Hawaiian owl (Asio flammeus sandwichiensis)
puhi,4,noun,0,0,puhi,eel
puka,4,noun,0,0,puka,"hole, gate, doorway"
puke,4,noun,0,0,puke,book
puku,4,verb,0,0,puku,to collect
pule,4,noun,0,0,pule,"prayer, spell, blessing"
